2020/01/31 22:58:46 [emerg] 6684#6688: directive "error_page" is not terminated by ";" in E:\2020backend\nginxUpsteramGroup\nginx3/conf/nginx.conf:58
2020/01/31 22:59:39 [emerg] 7240#7244: directive "error_page" is not terminated by ";" in E:\2020backend\nginxUpsteramGroup\nginx3/conf/nginx.conf:58
2020/01/31 23:00:12 [notice] 7332#7336: signal process started
2020/01/31 23:00:12 [error] 7332#7336: CreateFile() "E:\2020backend\nginxUpsteramGroup\nginx3/logs/nginx.pid" failed (2: The system cannot find the file specified)
2020/01/31 23:00:27 [error] 7400#7440: *1 CreateFile() "E:\2020backend\nginxUpsteramGroup\nginx3/html/favicon.ico" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1:9090"
2020/01/31 23:00:54 [error] 7400#7440: *1 CreateFile() "E:\2020backend\nginxUpsteramGroup\nginx3/html/55" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /55 HTTP/1.1", host: "127.0.0.1:9090"
2020/01/31 23:01:54 [error] 7400#7440: *1 CreateFile() "E:\2020backend\nginxUpsteramGroup\nginx3/html/55" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /55 HTTP/1.1", host: "127.0.0.1:9090"
2020/01/31 23:04:49 [error] 7400#7440: *2 "E:\2020backend\nginxUpsteramGroup\nginx3/dlib/2/proxy.html" is not found (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /proxy2/ HTTP/1.1", host: "127.0.0.1:9090"
2020/01/31 23:05:36 [notice] 6664#6516: signal process started
2020/01/31 23:05:39 [error] 6672#5740: *3 CreateFile() "E:\2020backend\nginxUpsteramGroup\nginx3/dlib//myindex.css" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /proxy2/myindex.css HTTP/1.1", host: "127.0.0.1:9090", referrer: "http://127.0.0.1:9090/proxy2/"
2020/01/31 23:05:48 [error] 6672#5740: *3 CreateFile() "E:\2020backend\nginxUpsteramGroup\nginx3/dlib//g" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /proxy2/g HTTP/1.1", host: "127.0.0.1:9090"
2020/01/31 23:08:16 [error] 6672#5740: *25 CreateFile() "E:\2020backend\nginxUpsteramGroup\nginx3/dlib//myindex.css" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /proxy/myindex.css HTTP/1.0", host: "127.0.0.1", referrer: "http://127.0.0.1:8080/proxy/"
2020/01/31 23:08:17 [error] 6672#5740: *26 CreateFile() "E:\2020backend\nginxUpsteramGroup\nginx3/dlib//myindex.css" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /proxy/myindex.css HTTP/1.0", host: "127.0.0.1", referrer: "http://127.0.0.1:8080/proxy/"
2020/01/31 23:08:18 [error] 6672#5740: *27 CreateFile() "E:\2020backend\nginxUpsteramGroup\nginx3/dlib//myindex.css" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /proxy/myindex.css HTTP/1.0", host: "127.0.0.1", referrer: "http://127.0.0.1:8080/proxy/"
2020/01/31 23:08:19 [error] 6672#5740: *28 CreateFile() "E:\2020backend\nginxUpsteramGroup\nginx3/dlib//myindex.css" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /proxy/myindex.css HTTP/1.0", host: "127.0.0.1", referrer: "http://127.0.0.1:8080/proxy/"
2020/01/31 23:08:19 [error] 6672#5740: *29 CreateFile() "E:\2020backend\nginxUpsteramGroup\nginx3/dlib//myindex.css" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /proxy/myindex.css HTTP/1.0", host: "127.0.0.1", referrer: "http://127.0.0.1:8080/proxy/"
2020/01/31 23:08:19 [error] 6672#5740: *30 CreateFile() "E:\2020backend\nginxUpsteramGroup\nginx3/dlib//myindex.css" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /proxy/myindex.css HTTP/1.0", host: "127.0.0.1", referrer: "http://127.0.0.1:8080/proxy/"
2020/01/31 23:08:20 [error] 6672#5740: *31 CreateFile() "E:\2020backend\nginxUpsteramGroup\nginx3/dlib//myindex.css" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /proxy/myindex.css HTTP/1.0", host: "127.0.0.1", referrer: "http://127.0.0.1:8080/proxy/"
2020/01/31 23:08:20 [error] 6672#5740: *32 CreateFile() "E:\2020backend\nginxUpsteramGroup\nginx3/dlib//myindex.css" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /proxy/myindex.css HTTP/1.0", host: "127.0.0.1", referrer: "http://127.0.0.1:8080/proxy/"
2020/01/31 23:08:20 [error] 6672#5740: *33 CreateFile() "E:\2020backend\nginxUpsteramGroup\nginx3/dlib//myindex.css" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /proxy/myindex.css HTTP/1.0", host: "127.0.0.1", referrer: "http://127.0.0.1:8080/proxy/"
2020/01/31 23:08:45 [notice] 3656#7652: signal process started
